,0,1,2,3,4,5,6,7
batch_1,140,9,20,25,52,16,1,9737
batch_2,166,6,25,25,49,18,2,9709
batch_3,154,14,25,27,52,13,4,9711
batch_4,154,5,25,20,46,9,3,9738
batch_5,166,11,19,27,34,15,4,9724
batch_6,182,15,28,20,38,15,4,9698
batch_7,188,5,18,17,37,13,3,9719
batch_8,176,11,22,23,40,19,4,9705
batch_9,150,7,33,21,45,14,3,9727
batch_10,140,6,24,16,41,13,2,9758
batch_11,150,7,30,17,37,15,2,9742
batch_12,184,12,26,16,43,18,6,9695
batch_13,151,6,33,27,36,23,5,9719
batch_14,170,7,27,20,40,12,2,9722
batch_15,148,9,25,22,49,10,3,9734
batch_16,159,12,26,15,41,11,4,9732
batch_17,149,14,24,24,50,10,2,9727
batch_18,175,4,30,27,50,11,8,9695
batch_19,176,6,23,21,42,23,5,9704
batch_20,158,11,23,27,40,11,2,9728
batch_21,146,7,35,20,37,17,5,9733
batch_22,167,13,21,19,48,16,4,9712
batch_23,202,6,17,22,59,18,6,9670
batch_24,167,8,15,23,53,18,3,9713
batch_25,166,8,39,22,41,20,3,9701
batch_26,161,12,26,30,23,12,2,9734
batch_27,170,12,25,35,45,17,4,9692
batch_28,164,14,16,21,48,14,2,9721
batch_29,106,8,18,13,34,9,0,6164
