sourceID,sourceAddress,sourceType,sourceLocation,destinationServiceAddress,destinationServiceType,destinationLocation,accessedNodeAddress,accessedNodeType,operation,value,normality
77,73,4,4,71,4,4,140,8,3,20.1909,7
0,80,0,6,76,0,6,151,1,1,3.0,7
11,69,6,4,83,4,0,167,8,1,19.8819,0
65,26,4,9,28,4,9,56,8,3,19.824,7
30,62,2,20,61,3,20,122,4,1,0.0,7
21,30,2,3,31,3,3,63,4,1,1.0,7
81,88,7,0,77,0,6,155,12,0,0.0,3
64,23,4,1,25,4,1,50,8,3,20.2086,7
32,70,2,4,69,3,4,138,4,1,1.0,7
1,81,0,6,77,0,6,155,2,1,1.0,7
81,88,7,0,77,0,6,154,1,1,3.0,7
63,13,4,10,12,4,10,25,8,3,20.0643,7
19,21,2,1,23,3,1,48,4,1,1.0,7
24,43,2,14,42,3,14,85,4,1,0.0,7
63,13,4,10,12,4,10,25,8,3,19.5758,7
30,62,2,20,61,3,20,122,4,1,1.0,7
22,36,2,11,36,4,11,72,8,1,20.2408,7
83,27,7,9,15,0,5,30,2,1,0.0,7
25,46,2,15,45,3,15,91,4,1,0.0,7
78,79,4,7,75,4,7,149,8,3,19.6342,7
29,59,2,19,58,3,19,116,4,1,0.0,7
64,23,4,1,17,1,5,35,2,3,1.0,2
82,14,7,10,8,0,10,17,2,1,0.0,7
32,70,2,4,69,3,4,138,4,1,1.0,7
34,82,2,6,80,4,6,161,8,1,20.0892,7
69,45,4,14,43,4,14,86,8,3,20.0332,7
18,19,2,5,20,3,5,42,4,1,1.0,7
82,14,7,10,8,0,10,16,1,1,3.0,7
68,42,4,13,40,4,13,80,8,3,19.5365,7
2,75,0,7,72,0,7,142,1,1,10.0,7
5,16,0,5,16,0,5,32,1,1,10.0,7
75,64,4,20,62,4,20,123,8,3,20.2382,7
1,81,0,6,77,0,6,154,1,1,4.0,7
0,80,0,6,76,0,6,151,1,1,1.0,7
61,4,4,2,2,4,2,5,8,3,20.4495,7
69,45,4,14,43,4,14,86,8,3,19.8139,7
69,45,4,14,43,4,14,86,8,3,20.0422,7
66,34,4,3,32,4,3,64,8,3,20.1378,7
78,79,4,7,75,4,7,149,8,3,19.608,7
21,30,2,3,31,3,3,63,4,1,1.0,7
21,30,2,3,32,4,3,64,8,1,20.2428,7
1,81,0,6,77,0,6,154,1,1,7.0,7
82,14,7,10,8,0,10,16,1,1,3.0,7
83,27,7,9,16,0,5,32,1,3,1.0,7
66,34,4,3,32,4,3,64,8,3,19.5966,7
83,27,7,9,15,0,5,29,1,1,9.0,7
19,21,2,1,25,4,1,50,8,1,20.0304,7
69,45,4,14,43,4,14,86,8,3,20.3831,7
83,27,7,9,15,0,5,29,1,1,1.0,7
64,23,4,1,25,4,1,50,8,3,19.9648,7
73,58,4,18,56,4,18,111,8,3,20.3325,7
78,79,4,7,75,4,7,149,8,3,20.0249,7
13,18,6,5,29,7,9,58,2,1,0.0,0
20,24,2,9,27,3,9,55,4,1,1.0,7
33,77,2,7,74,3,7,148,4,1,0.0,7
35,85,2,0,82,3,0,166,4,1,1.0,7
61,4,4,2,2,4,2,5,8,3,19.9993,7
1,81,0,6,77,0,6,154,1,3,3.0,7
5,16,0,5,16,0,5,32,1,1,1.0,7
74,61,4,19,59,4,19,117,8,3,20.1761,7
69,45,4,14,43,4,14,86,8,3,19.5154,7
19,21,2,1,23,3,1,48,4,1,0.0,7
70,48,4,15,46,4,15,92,8,3,20.1915,7
2,75,0,7,72,0,7,143,2,1,0.0,7
31,65,2,12,65,4,12,129,8,1,19.7897,7
15,1,2,2,2,4,2,5,8,1,20.3651,7
31,65,2,12,65,4,12,129,8,1,19.648,7
61,4,4,2,2,4,2,5,8,3,19.892,7
5,16,0,5,16,0,5,33,2,1,0.0,7
30,62,2,20,61,3,20,122,4,1,1.0,7
31,65,2,12,64,3,12,128,4,1,0.0,7
33,77,2,7,74,3,7,148,4,1,1.0,7
18,19,2,5,20,3,5,42,4,1,1.0,7
2,75,0,7,72,0,7,143,2,1,0.0,7
16,6,2,8,5,3,8,12,4,1,1.0,7
21,30,2,3,32,4,3,64,8,1,19.5538,7
83,27,7,9,15,0,5,30,2,1,0.0,7
24,43,2,14,42,3,14,85,4,1,0.0,7
34,82,2,6,79,3,6,160,4,1,1.0,7
0,80,0,6,76,0,6,151,1,1,9.0,7
2,75,0,7,72,0,7,143,2,1,0.0,7
2,75,0,7,72,0,7,142,1,1,10.0,7
32,70,2,4,71,4,4,140,8,1,20.245,7
69,45,4,14,43,4,14,86,8,3,20.1692,7
70,48,4,15,46,4,15,92,8,3,20.0253,7
4,15,0,5,15,0,5,30,2,3,0.0,7
72,55,4,17,53,4,17,105,8,3,20.256,7
1,81,0,6,77,0,6,155,2,1,1.0,7
65,26,4,9,28,4,9,56,8,3,19.6464,7
83,27,7,9,16,0,5,32,1,1,1.0,7
5,16,0,5,16,0,5,32,1,1,2.0,7
5,16,0,5,16,0,5,33,2,1,0.0,7
16,6,2,8,5,3,8,12,4,1,1.0,7
25,46,2,15,45,3,15,91,4,1,1.0,7
82,14,7,10,8,0,10,16,1,1,6.0,7
16,6,2,8,7,4,8,14,8,1,19.9582,7
81,88,7,0,76,0,6,151,1,1,5.0,7
