,0,1,2,3,4,5,6,7
AD_set_20_seed42,1166 (1.63%),78 (0.11%),186 (0.26%),165 (0.23%),307 (0.43%),108 (0.15%),19 (0.03%),69559 (97.17%)
AD_set_train20_seed42,931 (1.63%),66 (0.12%),151 (0.26%),133 (0.23%),246 (0.43%),86 (0.15%),17 (0.03%),55640 (97.15%)
AD_set_test20_seed42,235 (1.64%),12 (0.08%),35 (0.24%),32 (0.22%),61 (0.43%),22 (0.15%),2 (0.01%),13919 (97.21%)
AD_set_40_seed42,2328 (1.63%),139 (0.10%),355 (0.25%),320 (0.22%),618 (0.43%),211 (0.15%),46 (0.03%),139159 (97.19%)
AD_set_train40_seed42,1855 (1.62%),110 (0.10%),292 (0.25%),264 (0.23%),508 (0.44%),169 (0.15%),39 (0.03%),111303 (97.17%)
AD_set_test40_seed42,473 (1.65%),29 (0.10%),63 (0.22%),56 (0.20%),110 (0.38%),42 (0.15%),7 (0.02%),27856 (97.28%)
AD_set_60_seed42,3479 (1.62%),202 (0.09%),524 (0.24%),486 (0.23%),923 (0.43%),320 (0.15%),71 (0.03%),208760 (97.20%)
AD_set_train60_seed42,2805 (1.63%),166 (0.10%),422 (0.25%),395 (0.23%),744 (0.43%),262 (0.15%),57 (0.03%),166961 (97.18%)
AD_set_test60_seed42,674 (1.57%),36 (0.08%),102 (0.24%),91 (0.21%),179 (0.42%),58 (0.14%),14 (0.03%),41799 (97.31%)
AD_set_80_seed42,4630 (1.62%),271 (0.09%),717 (0.25%),659 (0.23%),1241 (0.43%),423 (0.15%),95 (0.03%),278317 (97.19%)
AD_set_train80_seed42,3707 (1.62%),221 (0.10%),554 (0.24%),525 (0.23%),974 (0.43%),350 (0.15%),73 (0.03%),222678 (97.20%)
AD_set_test80_seed42,923 (1.61%),50 (0.09%),163 (0.28%),134 (0.23%),267 (0.47%),73 (0.13%),22 (0.04%),55639 (97.15%)
AD_set_100_seed42,5780 (1.61%),342 (0.10%),889 (0.25%),805 (0.22%),1547 (0.43%),532 (0.15%),122 (0.03%),347924 (97.20%)
AD_set_train100_seed42,4685 (1.64%),265 (0.09%),718 (0.25%),642 (0.22%),1250 (0.44%),430 (0.15%),98 (0.03%),278264 (97.18%)
AD_set_test100_seed42,1095 (1.53%),77 (0.11%),171 (0.24%),163 (0.23%),297 (0.41%),102 (0.14%),24 (0.03%),69660 (97.31%)
