,0,1,2,3,4,5,6,7
AD_set_20_seed42,1166,78,186,165,307,108,19,69559
AD_set_train20_seed42,931,66,151,133,246,86,17,55640
AD_set_test20_seed42,235,12,35,32,61,22,2,13919
AD_set_40_seed42,2328,139,355,320,618,211,46,139159
AD_set_train40_seed42,1855,110,292,264,508,169,39,111303
AD_set_test40_seed42,473,29,63,56,110,42,7,27856
AD_set_60_seed42,3479,202,524,486,923,320,71,208760
AD_set_train60_seed42,2805,166,422,395,744,262,57,166961
AD_set_test60_seed42,674,36,102,91,179,58,14,41799
AD_set_80_seed42,4630,271,717,659,1241,423,95,278317
AD_set_train80_seed42,3707,221,554,525,974,350,73,222678
AD_set_test80_seed42,923,50,163,134,267,73,22,55639
AD_set_100_seed42,5780,342,889,805,1547,532,122,347924
AD_set_train100_seed42,4685,265,718,642,1250,430,98,278264
AD_set_test100_seed42,1095,77,171,163,297,102,24,69660
