,sourceID,sourceAddress,sourceType,sourceLocation,destinationServiceAddress,destinationServiceType,destinationLocation,accessedNodeAddress,accessedNodeType,operation,value,normality
149672,77,73,4,4,71,4,4,140,8,3,20.1909,7
60827,0,80,0,6,76,0,6,151,1,1,3.0,7
298819,11,69,6,4,83,4,0,167,8,1,19.8819,0
12035,65,26,4,9,28,4,9,56,8,3,19.824,7
202636,30,62,2,20,61,3,20,122,4,1,0.0,7
188549,21,30,2,3,31,3,3,63,4,1,1.0,7
136906,81,88,7,0,77,0,6,155,12,0,0.0,3
94178,64,23,4,1,25,4,1,50,8,3,20.2086,7
188462,32,70,2,4,69,3,4,138,4,1,1.0,7
65132,1,81,0,6,77,0,6,155,2,1,1.0,7
294295,81,88,7,0,77,0,6,154,1,1,3.0,7
57033,63,13,4,10,12,4,10,25,8,3,20.0643,7
111500,19,21,2,1,23,3,1,48,4,1,1.0,7
330451,24,43,2,14,42,3,14,85,4,1,0.0,7
123496,63,13,4,10,12,4,10,25,8,3,19.5758,7
123707,30,62,2,20,61,3,20,122,4,1,1.0,7
180747,22,36,2,11,36,4,11,72,8,1,20.2408,7
39009,83,27,7,9,15,0,5,30,2,1,0.0,7
9057,25,46,2,15,45,3,15,91,4,1,0.0,7
324497,78,79,4,7,75,4,7,149,8,3,19.6342,7
22676,29,59,2,19,58,3,19,116,4,1,0.0,7
276114,64,23,4,1,17,1,5,35,2,3,1.0,2
142755,82,14,7,10,8,0,10,17,2,1,0.0,7
188942,32,70,2,4,69,3,4,138,4,1,1.0,7
258017,34,82,2,6,80,4,6,161,8,1,20.0892,7
52649,69,45,4,14,43,4,14,86,8,3,20.0332,7
138198,18,19,2,5,20,3,5,42,4,1,1.0,7
32775,82,14,7,10,8,0,10,16,1,1,3.0,7
318423,68,42,4,13,40,4,13,80,8,3,19.5365,7
19270,2,75,0,7,72,0,7,142,1,1,10.0,7
130036,5,16,0,5,16,0,5,32,1,1,10.0,7
48909,75,64,4,20,62,4,20,123,8,3,20.2382,7
6051,1,81,0,6,77,0,6,154,1,1,4.0,7
192361,0,80,0,6,76,0,6,151,1,1,1.0,7
11100,61,4,4,2,2,4,2,5,8,3,20.4495,7
322450,69,45,4,14,43,4,14,86,8,3,19.8139,7
302718,69,45,4,14,43,4,14,86,8,3,20.0422,7
76357,66,34,4,3,32,4,3,64,8,3,20.1378,7
284785,78,79,4,7,75,4,7,149,8,3,19.608,7
243566,21,30,2,3,31,3,3,63,4,1,1.0,7
149581,21,30,2,3,32,4,3,64,8,1,20.2428,7
318486,1,81,0,6,77,0,6,154,1,1,7.0,7
283749,82,14,7,10,8,0,10,16,1,1,3.0,7
197171,83,27,7,9,16,0,5,32,1,3,1.0,7
145418,66,34,4,3,32,4,3,64,8,3,19.5966,7
183836,83,27,7,9,15,0,5,29,1,1,9.0,7
171606,19,21,2,1,25,4,1,50,8,1,20.0304,7
260119,69,45,4,14,43,4,14,86,8,3,20.3831,7
68222,83,27,7,9,15,0,5,29,1,1,1.0,7
153299,64,23,4,1,25,4,1,50,8,3,19.9648,7
23225,73,58,4,18,56,4,18,111,8,3,20.3325,7
107525,78,79,4,7,75,4,7,149,8,3,20.0249,7
205821,13,18,6,5,29,7,9,58,2,1,0.0,0
37460,20,24,2,9,27,3,9,55,4,1,1.0,7
245243,33,77,2,7,74,3,7,148,4,1,0.0,7
157388,35,85,2,0,82,3,0,166,4,1,1.0,7
76799,61,4,4,2,2,4,2,5,8,3,19.9993,7
109831,1,81,0,6,77,0,6,154,1,3,3.0,7
143191,5,16,0,5,16,0,5,32,1,1,1.0,7
19982,74,61,4,19,59,4,19,117,8,3,20.1761,7
90797,69,45,4,14,43,4,14,86,8,3,19.5154,7
44704,19,21,2,1,23,3,1,48,4,1,0.0,7
166595,70,48,4,15,46,4,15,92,8,3,20.1915,7
220384,2,75,0,7,72,0,7,143,2,1,0.0,7
218921,31,65,2,12,65,4,12,129,8,1,19.7897,7
229151,15,1,2,2,2,4,2,5,8,1,20.3651,7
207729,31,65,2,12,65,4,12,129,8,1,19.648,7
294649,61,4,4,2,2,4,2,5,8,3,19.892,7
117042,5,16,0,5,16,0,5,33,2,1,0.0,7
23550,30,62,2,20,61,3,20,122,4,1,1.0,7
45436,31,65,2,12,64,3,12,128,4,1,0.0,7
354189,33,77,2,7,74,3,7,148,4,1,1.0,7
256423,18,19,2,5,20,3,5,42,4,1,1.0,7
354655,2,75,0,7,72,0,7,143,2,1,0.0,7
99382,16,6,2,8,5,3,8,12,4,1,1.0,7
283866,21,30,2,3,32,4,3,64,8,1,19.5538,7
115923,83,27,7,9,15,0,5,30,2,1,0.0,7
335845,24,43,2,14,42,3,14,85,4,1,0.0,7
122092,34,82,2,6,79,3,6,160,4,1,1.0,7
34048,0,80,0,6,76,0,6,151,1,1,9.0,7
15827,2,75,0,7,72,0,7,143,2,1,0.0,7
87337,2,75,0,7,72,0,7,142,1,1,10.0,7
321899,32,70,2,4,71,4,4,140,8,1,20.245,7
5706,69,45,4,14,43,4,14,86,8,3,20.1692,7
189047,70,48,4,15,46,4,15,92,8,3,20.0253,7
296435,4,15,0,5,15,0,5,30,2,3,0.0,7
137766,72,55,4,17,53,4,17,105,8,3,20.256,7
258651,1,81,0,6,77,0,6,155,2,1,1.0,7
16894,65,26,4,9,28,4,9,56,8,3,19.6464,7
71857,83,27,7,9,16,0,5,32,1,1,1.0,7
35593,5,16,0,5,16,0,5,32,1,1,2.0,7
253603,5,16,0,5,16,0,5,33,2,1,0.0,7
151715,16,6,2,8,5,3,8,12,4,1,1.0,7
171828,25,46,2,15,45,3,15,91,4,1,1.0,7
243979,82,14,7,10,8,0,10,16,1,1,6.0,7
224564,16,6,2,8,7,4,8,14,8,1,19.9582,7
151910,81,88,7,0,76,0,6,151,1,1,5.0,7
270633,82,14,7,10,8,0,10,16,1,3,7.0,7
70225,15,1,2,2,1,3,2,4,4,1,0.0,7
109959,31,65,2,12,64,3,12,128,4,1,1.0,7
191274,33,77,2,7,75,4,7,149,8,1,19.5611,7
21900,63,13,4,10,12,4,10,25,8,3,19.514,7
142969,62,8,4,8,7,4,8,14,8,3,20.3605,7
335052,30,62,2,20,61,3,20,122,4,1,1.0,7
249815,16,6,2,8,7,4,8,14,8,1,19.5365,7
43182,83,27,7,9,15,0,5,29,1,1,10.0,7
339452,27,53,2,17,52,3,17,104,4,1,1.0,7
265094,21,30,2,3,32,4,3,64,8,1,20.479,7
255357,68,42,4,13,40,4,13,80,8,3,20.3674,7
160235,28,56,2,18,55,3,18,110,4,1,0.0,7
96640,78,79,4,7,75,4,7,149,8,3,19.5303,7
137040,81,88,7,0,77,0,6,155,12,0,0.0,3
2325,3,9,0,10,8,0,10,16,1,1,2.0,7
14885,4,15,0,5,15,0,5,30,2,1,1.0,7
250467,21,30,2,3,32,4,3,64,8,1,19.6406,7
354205,16,6,2,8,7,4,8,14,8,1,19.5446,7
62749,80,87,4,0,83,4,0,167,8,3,19.6702,7
306163,31,65,2,12,64,3,12,128,4,1,0.0,7
273594,35,85,2,0,83,4,0,167,8,1,19.6236,7
160479,0,80,0,6,76,0,6,151,1,1,5.0,7
283222,23,40,2,13,39,3,13,79,4,1,1.0,7
189470,28,56,2,18,55,3,18,110,4,1,0.0,7
218972,16,6,2,8,5,3,8,12,4,1,1.0,7
184974,81,88,7,0,77,0,6,154,1,1,9.0,7
273810,4,15,0,5,15,0,5,29,1,1,6.0,7
229381,22,36,2,11,36,4,11,72,8,1,19.8963,7
29359,15,1,2,2,1,3,2,4,4,1,0.0,0
113210,25,46,2,15,45,3,15,91,4,1,0.0,7
223517,27,53,2,17,53,4,17,105,8,1,20.4117,7
56727,62,8,4,8,7,4,8,14,8,3,20.2746,7
128972,4,15,0,5,15,0,5,29,1,3,7.0,7
139242,0,80,0,6,76,0,6,151,1,1,4.0,7
79488,1,81,0,6,77,0,6,154,1,1,2.0,7
177096,82,14,7,10,8,0,10,16,1,3,6.0,7
354244,1,81,0,6,77,0,6,155,2,1,0.0,7
32287,30,62,2,20,61,3,20,122,4,1,0.0,7
169051,17,11,2,10,12,4,10,25,8,1,19.9172,7
174389,20,24,2,9,28,4,9,56,8,1,20.1675,7
47626,83,27,7,9,16,0,5,32,1,3,0.0,7
101535,72,55,4,17,53,4,17,105,8,3,19.8163,7
38687,2,75,0,7,72,0,7,142,1,1,10.0,7
20750,3,9,0,10,8,0,10,16,1,1,1.0,7
136690,1,81,0,6,77,0,6,154,1,1,2.0,7
249007,20,24,2,9,28,4,9,56,8,1,19.7797,7
339487,68,42,4,13,40,4,13,80,8,3,19.8334,7
156721,34,82,2,6,80,4,6,161,8,1,20.0318,7
79424,72,55,4,17,53,4,17,105,8,3,20.0127,7
36852,5,16,0,5,16,0,5,33,2,1,0.0,7
117534,69,45,4,14,43,4,14,86,8,3,20.4806,7
47918,82,14,7,10,8,0,10,17,2,1,1.0,7
262741,82,14,7,10,8,0,10,16,1,1,6.0,7
41199,2,75,0,7,72,0,7,142,1,1,10.0,7
229013,0,80,0,6,76,0,6,151,1,1,1.0,7
340335,5,16,0,5,16,0,5,32,1,1,5.0,7
323335,32,70,2,4,71,4,4,140,8,1,19.6371,7
100329,0,80,0,6,76,0,6,151,1,1,9.0,7
14933,5,16,0,5,16,0,5,32,1,1,4.0,7
96337,73,58,4,18,56,4,18,111,8,3,20.4461,7
279313,22,36,2,11,35,3,11,71,4,1,0.0,7
38285,61,4,4,2,2,4,2,5,8,3,19.6251,7
