,0,1,2,3,4,5,6,7
AD_set_20_seed20,1112 (1.55%),58 (0.08%),150 (0.21%),171 (0.24%),311 (0.43%),108 (0.15%),29 (0.04%),69649 (97.29%)
AD_set_train20_seed20,899 (1.57%),47 (0.08%),111 (0.19%),141 (0.25%),255 (0.45%),81 (0.14%),23 (0.04%),55713 (97.28%)
AD_set_test20_seed20,213 (1.49%),11 (0.08%),39 (0.27%),30 (0.21%),56 (0.39%),27 (0.19%),6 (0.04%),13936 (97.33%)
AD_set_40_seed20,2251 (1.57%),142 (0.10%),337 (0.24%),323 (0.23%),640 (0.45%),213 (0.15%),46 (0.03%),139224 (97.24%)
AD_set_train40_seed20,1806 (1.58%),123 (0.11%),264 (0.23%),266 (0.23%),525 (0.46%),174 (0.15%),33 (0.03%),111349 (97.21%)
AD_set_test40_seed20,445 (1.55%),19 (0.07%),73 (0.25%),57 (0.20%),115 (0.40%),39 (0.14%),13 (0.05%),27875 (97.34%)
AD_set_60_seed20,3406 (1.59%),200 (0.09%),511 (0.24%),463 (0.22%),951 (0.44%),319 (0.15%),70 (0.03%),208845 (97.24%)
AD_set_train60_seed20,2743 (1.60%),158 (0.09%),413 (0.24%),377 (0.22%),771 (0.45%),257 (0.15%),60 (0.03%),167033 (97.22%)
AD_set_test60_seed20,663 (1.54%),42 (0.10%),98 (0.23%),86 (0.20%),180 (0.42%),62 (0.14%),10 (0.02%),41812 (97.34%)
AD_set_80_seed20,4617 (1.61%),271 (0.09%),705 (0.25%),620 (0.22%),1261 (0.44%),422 (0.15%),95 (0.03%),278362 (97.21%)
AD_set_train80_seed20,3685 (1.61%),204 (0.09%),560 (0.24%),494 (0.22%),1014 (0.44%),338 (0.15%),80 (0.03%),222707 (97.22%)
AD_set_test80_seed20,932 (1.63%),67 (0.12%),145 (0.25%),126 (0.22%),247 (0.43%),84 (0.15%),15 (0.03%),55655 (97.18%)
AD_set_100_seed20,5780 (1.61%),342 (0.10%),889 (0.25%),805 (0.22%),1547 (0.43%),532 (0.15%),122 (0.03%),347924 (97.20%)
AD_set_train100_seed20,4628 (1.62%),271 (0.09%),687 (0.24%),642 (0.22%),1258 (0.44%),429 (0.15%),101 (0.04%),278336 (97.20%)
AD_set_test100_seed20,1152 (1.61%),71 (0.10%),202 (0.28%),163 (0.23%),289 (0.40%),103 (0.14%),21 (0.03%),69588 (97.20%)
