,0,1,2,3,4,5,6,7
AD_set_20_seed42,1166 (1.63%),78 (0.11%),186 (0.26%),165 (0.23%),307 (0.43%),108 (0.15%),19 (0.03%),69559 (97.17%)
AD_set_train20_seed42,255 (1.78%),19 (0.13%),46 (0.32%),40 (0.28%),56 (0.39%),14 (0.10%),2 (0.01%),13885 (96.98%)
AD_set_test20_seed42,911 (1.59%),59 (0.10%),140 (0.24%),125 (0.22%),251 (0.44%),94 (0.16%),17 (0.03%),55674 (97.21%)
AD_set_40_seed42,2328 (1.63%),139 (0.10%),355 (0.25%),320 (0.22%),618 (0.43%),211 (0.15%),46 (0.03%),139159 (97.19%)
AD_set_train40_seed42,482 (1.68%),24 (0.08%),73 (0.25%),59 (0.21%),132 (0.46%),46 (0.16%),6 (0.02%),27813 (97.13%)
AD_set_test40_seed42,1846 (1.61%),115 (0.10%),282 (0.25%),261 (0.23%),486 (0.42%),165 (0.14%),40 (0.03%),111346 (97.21%)
AD_set_60_seed42,3479 (1.62%),202 (0.09%),524 (0.24%),486 (0.23%),923 (0.43%),320 (0.15%),71 (0.03%),208760 (97.20%)
AD_set_train60_seed42,714 (1.66%),40 (0.09%),119 (0.28%),95 (0.22%),180 (0.42%),72 (0.17%),9 (0.02%),41724 (97.14%)
AD_set_test60_seed42,2765 (1.61%),162 (0.09%),405 (0.24%),391 (0.23%),743 (0.43%),248 (0.14%),62 (0.04%),167036 (97.22%)
AD_set_80_seed42,4630 (1.62%),271 (0.09%),717 (0.25%),659 (0.23%),1241 (0.43%),423 (0.15%),95 (0.03%),278317 (97.19%)
AD_set_train80_seed42,924 (1.61%),54 (0.09%),139 (0.24%),149 (0.26%),235 (0.41%),92 (0.16%),15 (0.03%),55662 (97.19%)
AD_set_test80_seed42,3706 (1.62%),217 (0.09%),578 (0.25%),510 (0.22%),1006 (0.44%),331 (0.14%),80 (0.03%),222655 (97.19%)
AD_set_100_seed42,5780 (1.61%),342 (0.10%),889 (0.25%),805 (0.22%),1547 (0.43%),532 (0.15%),122 (0.03%),347924 (97.20%)
AD_set_train100_seed42,1243 (1.74%),77 (0.11%),160 (0.22%),178 (0.25%),326 (0.46%),121 (0.17%),23 (0.03%),69460 (97.03%)
AD_set_test100_seed42,4537 (1.58%),265 (0.09%),729 (0.25%),627 (0.22%),1221 (0.43%),411 (0.14%),99 (0.03%),278464 (97.25%)
