,sourceID,sourceAddress,sourceType,sourceLocation,destinationServiceAddress,destinationServiceType,destinationLocation,accessedNodeAddress,accessedNodeType,operation,value,normality
89724,82,14,7,10,8,0,10,16,1,3,1.0,7
158931,22,36,2,11,35,3,11,71,4,1,1.0,7
69081,16,6,2,8,5,3,8,12,4,1,0.0,7
259855,24,43,2,14,42,3,14,85,4,1,0.0,7
340893,4,15,0,5,15,0,5,29,1,1,10.0,7
183167,81,88,7,0,77,0,6,154,1,3,7.0,7
232452,14,52,6,17,59,4,19,117,8,1,20.0204,7
284447,63,13,4,10,12,4,10,25,8,3,20.074,7
212242,77,73,4,4,71,4,4,140,8,3,20.3785,7
221558,2,75,0,7,72,0,7,143,2,1,0.0,7
203644,69,45,4,14,43,4,14,86,8,3,19.9719,7
185380,23,40,2,13,40,4,13,80,8,1,19.8558,7
344117,61,4,4,2,2,4,2,5,8,3,20.3293,7
323897,3,9,0,10,8,0,10,16,1,1,3.0,7
207416,1,81,0,6,77,0,6,154,1,1,6.0,7
110355,15,1,2,2,1,3,2,4,4,1,1.0,7
121923,1,81,0,6,77,0,6,154,1,1,3.0,7
142497,19,21,2,1,23,3,1,48,4,1,0.0,7
196797,1,81,0,6,77,0,6,154,1,1,6.0,7
224548,1,81,0,6,77,0,6,154,1,1,4.0,7
88012,61,4,4,2,2,4,2,5,8,3,20.0391,7
81137,75,64,4,20,62,4,20,123,8,3,19.9753,7
228686,0,80,0,6,76,0,6,151,1,1,2.0,7
353508,33,77,2,7,75,4,7,149,8,1,19.5934,7
71194,83,27,7,9,15,0,5,29,1,1,1.0,7
277003,30,62,2,20,62,4,20,123,8,1,19.8389,7
200944,34,82,2,6,79,3,6,160,4,1,1.0,7
54169,74,61,4,19,59,4,19,117,8,3,20.0068,7
265495,63,13,4,10,12,4,10,25,8,3,19.569,7
329237,3,9,0,10,8,0,10,16,1,1,4.0,7
283240,34,82,2,6,79,3,6,160,4,1,1.0,7
124095,70,48,4,15,46,4,15,92,8,3,19.6999,7
60009,2,75,0,7,72,0,7,142,1,1,10.0,7
213514,46,44,3,14,42,3,14,85,4,3,1.0,7
132655,82,14,7,10,8,0,10,17,2,1,0.0,7
2309,2,75,0,7,72,0,7,143,2,1,0.0,7
151205,3,9,0,10,8,0,10,16,1,1,8.0,7
249650,82,14,7,10,8,0,10,16,1,1,2.0,7
242313,15,1,2,2,1,3,2,4,4,1,0.0,7
