,0,1,2,3,4,5,6,7
AD_dataset,5780 (1.61%),342 (0.10%),889 (0.25%),805 (0.22%),1547 (0.43%),532 (0.15%),122 (0.03%),347924 (97.20%)
AD_set_train,4685 (13.05%),265 (0.74%),718 (2.00%),642 (1.79%),1250 (3.48%),430 (1.20%),98 (0.27%),27826 (77.48%)
AD_set_test,1095 (1.53%),77 (0.11%),171 (0.24%),163 (0.23%),297 (0.41%),102 (0.14%),24 (0.03%),69660 (97.31%)
AD_set_train0.001_seed42,7 (20.00%),1 (2.86%),0 (0.00%),0 (0.00%),4 (11.43%),0 (0.00%),0 (0.00%),23 (65.71%)
AD_set_train0.002_seed42,11 (15.49%),1 (1.41%),0 (0.00%),1 (1.41%),5 (7.04%),0 (0.00%),0 (0.00%),53 (74.65%)
AD_set_train0.005_seed42,23 (12.85%),1 (0.56%),0 (0.00%),3 (1.68%),8 (4.47%),2 (1.12%),0 (0.00%),142 (79.33%)
AD_set_train0.01_seed42,45 (12.53%),3 (0.84%),11 (3.06%),7 (1.95%),15 (4.18%),2 (0.56%),1 (0.28%),275 (76.60%)
AD_set_train0.02_seed42,88 (12.26%),9 (1.25%),15 (2.09%),12 (1.67%),27 (3.76%),7 (0.97%),2 (0.28%),558 (77.72%)
AD_set_train0.05_seed42,224 (12.48%),21 (1.17%),34 (1.89%),35 (1.95%),65 (3.62%),27 (1.50%),4 (0.22%),1385 (77.16%)
AD_set_train0.1_seed42,445 (12.39%),34 (0.95%),72 (2.01%),57 (1.59%),135 (3.76%),47 (1.31%),8 (0.22%),2793 (77.78%)
AD_set_train0.15_seed42,669 (12.42%),47 (0.87%),103 (1.91%),98 (1.82%),206 (3.82%),74 (1.37%),15 (0.28%),4175 (77.50%)
AD_set_train0.2_seed42,893 (12.43%),60 (0.84%),134 (1.87%),141 (1.96%),271 (3.77%),101 (1.41%),18 (0.25%),5564 (77.47%)
AD_set_train0.4_seed42,1834 (12.77%),108 (0.75%),287 (2.00%),273 (1.90%),522 (3.63%),190 (1.32%),43 (0.30%),11108 (77.33%)
AD_set_train0.6_seed42,2788 (12.94%),167 (0.78%),424 (1.97%),386 (1.79%),764 (3.55%),271 (1.26%),58 (0.27%),16690 (77.45%)
AD_set_train0.8_seed42,3741 (13.02%),211 (0.73%),577 (2.01%),520 (1.81%),999 (3.48%),347 (1.21%),79 (0.27%),22257 (77.47%)
