,Samples,LR,SVM,DT,RF,ANN
0,35,0.8285714285714286,0.8285714285714286,0.8571428571428571,0.8571428571428571,0.6571428571428571
1,71,0.8873239436619719,0.8450704225352113,0.8873239436619719,0.9154929577464789,0.7464788732394366
2,179,0.8659217877094972,0.8938547486033519,0.9553072625698324,0.9664804469273743,0.7932960893854749
3,359,0.8551532033426184,0.8802228412256268,0.9805013927576601,0.9749303621169917,0.7994428969359332
4,718,0.862116991643454,0.8955431754874652,0.9860724233983287,0.9846796657381616,0.8356545961002786
5,1795,0.8974930362116992,0.9498607242339833,0.9888579387186629,0.9888579387186629,0.9376044568245125
6,3591,0.9036480089111668,0.9732664995822891,0.9916457811194653,0.9916457811194653,0.9560011138958507
7,5387,0.900501206608502,0.9834787451271579,0.9907183961388528,0.9907183961388528,0.9569333580842769
8,7182,0.9003063213589529,0.9827346143135617,0.9901141743247006,0.9901141743247006,0.9639376218323586
9,14365,0.9020536025060912,0.9834319526627219,0.9908109989557954,0.9908109989557954,0.9740341106856943
10,21548,0.9156766289214776,0.9835251531464637,0.990671988119547,0.990671988119547,0.982782624837572
11,28731,0.9165361456266751,0.9840242247050225,0.9904632626779437,0.9904632626779437,0.9849987818036268
12,35914,0.917358133318483,0.9843236620816395,0.9905329398006348,0.9905329398006348,0.9878041989196413
