,Samples,LR,SVM,DT,RF,ANN
0,35,0.4891304347826087,0.4891304347826087,0.5,0.5,0.25
1,71,0.39622641509433965,0.3560891938250429,0.39622641509433965,0.47622641509433966,0.2
2,179,0.2608695652173913,0.3274647887323944,0.5867566510172143,0.6631455399061034,0.16666666666666666
3,359,0.30645743145743143,0.24818181818181817,0.706969696969697,0.6236363636363637,0.15833333333333333
4,718,0.30184879711089385,0.3994847670250896,0.9977598566308243,0.9838709677419355,0.19542705278592376
5,1795,0.3393578522772619,0.7787123359325525,0.9981949458483754,0.9981949458483754,0.521495371267085
6,3591,0.3442423021840315,0.9904165174841867,0.998657357679914,0.998657357679914,0.6378236643668292
7,5387,0.3383890768097251,0.9961816173478286,0.9985029940119761,0.9985029940119761,0.6601230626571223
8,7182,0.3328918457258395,0.9963366568424851,0.9984049245147376,0.9984049245147376,0.8284483485387784
9,14365,0.32596299584471644,0.9966371187380743,0.9985145840835434,0.9985145840835434,0.8819953203977029
10,21548,0.5045809567388488,0.9973412222887956,0.9984946075494308,0.9984946075494308,0.9610596685818653
11,28731,0.5029543147670504,0.9974221593206631,0.9984611582872804,0.9984611582872804,0.9661861503646106
12,35914,0.507238163969139,0.9974708905340329,0.9984726514770359,0.9984726514770359,0.9871486596942127
