,0,1,2,3,4,5,6,7
AD_dataset,5780 (1.61%),342 (0.10%),889 (0.25%),805 (0.22%),1547 (0.43%),532 (0.15%),122 (0.03%),347924 (97.20%)
AD_set_train,4685 (12.50%),4685 (12.50%),4685 (12.50%),4685 (12.50%),4685 (12.50%),4685 (12.50%),4685 (12.50%),4679 (12.49%)
AD_set_test,1095 (1.53%),77 (0.11%),171 (0.24%),163 (0.23%),297 (0.41%),102 (0.14%),24 (0.03%),69660 (97.31%)
AD_set_train0.001_seed42,10 (27.03%),5 (13.51%),4 (10.81%),6 (16.22%),5 (13.51%),2 (5.41%),3 (8.11%),2 (5.41%)
AD_set_train0.002_seed42,16 (21.62%),10 (13.51%),9 (12.16%),9 (12.16%),9 (12.16%),11 (14.86%),5 (6.76%),5 (6.76%)
AD_set_train0.005_seed42,35 (18.72%),22 (11.76%),22 (11.76%),19 (10.16%),25 (13.37%),33 (17.65%),17 (9.09%),14 (7.49%)
AD_set_train0.01_seed42,64 (17.11%),54 (14.44%),44 (11.76%),40 (10.70%),51 (13.64%),48 (12.83%),45 (12.03%),28 (7.49%)
AD_set_train0.02_seed42,107 (14.29%),106 (14.15%),89 (11.88%),85 (11.35%),108 (14.42%),112 (14.95%),74 (9.88%),68 (9.08%)
AD_set_train0.05_seed42,235 (12.55%),251 (13.40%),238 (12.71%),211 (11.27%),242 (12.92%),262 (13.99%),213 (11.37%),221 (11.80%)
AD_set_train0.1_seed42,455 (12.14%),474 (12.65%),481 (12.84%),440 (11.74%),492 (13.13%),509 (13.58%),445 (11.88%),451 (12.04%)
AD_set_train0.15_seed42,690 (12.28%),718 (12.77%),715 (12.72%),679 (12.08%),706 (12.56%),725 (12.90%),691 (12.29%),697 (12.40%)
AD_set_train0.2_seed42,942 (12.57%),953 (12.72%),938 (12.52%),919 (12.26%),950 (12.68%),972 (12.97%),898 (11.98%),922 (12.30%)
AD_set_train0.4_seed42,1903 (12.70%),1830 (12.21%),1912 (12.76%),1878 (12.53%),1900 (12.68%),1878 (12.53%),1844 (12.30%),1844 (12.30%)
AD_set_train0.6_seed42,2781 (12.37%),2769 (12.32%),2814 (12.52%),2875 (12.79%),2809 (12.49%),2817 (12.53%),2834 (12.60%),2785 (12.39%)
AD_set_train0.8_seed42,3720 (12.41%),3724 (12.42%),3784 (12.62%),3766 (12.56%),3753 (12.52%),3736 (12.46%),3765 (12.56%),3731 (12.45%)
