,Samples,LR,SVM,DT,RF,ANN
0,37,0.8378378378378378,0.7027027027027027,0.8918918918918919,0.918918918918919,0.35135135135135137
1,74,0.8378378378378378,0.7162162162162162,1.0,1.0,0.5
2,187,0.8342245989304813,0.9572192513368984,1.0,1.0,0.7005347593582888
3,374,0.8609625668449198,0.9705882352941176,1.0,1.0,0.786096256684492
4,749,0.8891855807743658,0.986648865153538,1.0,1.0,0.8811748998664887
5,1873,0.9081687132941805,0.987720234917245,1.0,1.0,0.9332621462893753
6,3747,0.9105951427808914,0.9890579129970644,1.0,1.0,0.9527622097678142
7,5621,0.9080234833659491,0.9893257427504003,1.0,1.0,0.976160825475894
8,7494,0.9112623432078997,0.992660795302909,1.0,1.0,0.9886575927408594
9,14989,0.9184735472679966,0.9960637801054106,1.0,1.0,0.9956634865568084
10,22484,0.9215442092154421,0.99693115104074,1.0,1.0,0.9978206724782067
11,29979,0.9143400380266187,0.9968311151139131,1.0,1.0,0.998031955702325
12,37474,0.9276831936809521,0.9969045204675242,1.0,1.0,0.9981320382131611
