,Samples,LR,SVM,DT,RF,ANN
0,37,0.7041666666666667,0.5416666666666666,0.75,0.8125,0.2
1,74,0.7791666666666666,0.5986111111111111,1.0,1.0,0.38396464646464645
2,187,0.8000814536340852,0.9427813852813853,1.0,1.0,0.6368580542264753
3,374,0.8341991341991342,0.9583333333333333,1.0,1.0,0.7693526653085476
4,749,0.8835495644887168,0.983061974789916,1.0,1.0,0.8822448399807241
5,1873,0.9095264911844493,0.9870804329360479,1.0,1.0,0.9341469242273421
6,3747,0.9124055641123421,0.9886709368416686,1.0,1.0,0.953761580793602
7,5621,0.9085753304228095,0.9892621725476818,1.0,1.0,0.9761592686681391
8,7494,0.9118716967956706,0.9925433839479393,1.0,1.0,0.9886021036906054
9,14989,0.9186252735250964,0.9960005422993492,1.0,1.0,0.995605805457244
10,22484,0.9212628207130419,0.9969030520646319,1.0,1.0,0.9978007181328545
11,29979,0.9141852013708168,0.9968172071830608,1.0,1.0,0.9980233181452693
12,37474,0.9276626439850345,0.9969010472323145,1.0,1.0,0.9981299422953622
